Cordyceps brongniartii
Beauveria pseudobassiana
Lecanicillium psalliotae
Lecanicillium fungicola
Lecanicillium sp._MT-2017a
Lecanicillium sp._LEC01
Torrubiella hemipterigena
Trichoderma atroviride
Trichoderma koningiopsis
Trichoderma gamsii
Trichoderma asperellum
Trichoderma hamatum
Trichoderma reesei
Trichoderma parareesei
Trichoderma longibrachiatum
Trichoderma koningii
Trichoderma citrinoviride
Trichoderma virens
Trichoderma guizhouense
Trichoderma harzianum
Trichoderma pleuroti
Trichoderma brevicompactum
Trichoderma arundinaceum
Escovopsis weberi
Escovopsis sp._AC
Escovopsis sp._Ae724
Escovopsis sp._Ae733
Escovopsis sp._Ae720
Escovopsis sp._TC
Stachybotrys chlorohalonata
Stachybotrys chartarum
Memnoniella echinata
Paramyrothecium roridum
Acremonium chrysogenum
Geosmithia morbida
Geosmithia flava
Geosmithia putterillii
Acremonium tumulicola
Clonostachys rosea
Spicellum ovalisporum
Spicellum roseum
Trichothecium roseum
Sarocladium strictum
Sarocladium oryzae
Huntiella omanensis
Huntiella savannae
Huntiella decipiens
Huntiella bhutanensis
Huntiella moniliformis
Catunica adiposa
Ambrosiella xylebori
Bretziella fagacearum
Ceratocystis manginecans
Ceratocystis fimbriata
Ceratocystis eucalypticola
Ceratocystis cacaofunesta
Ceratocystis platani
Ceratocystis albifundus
Ceratocystis harringtonii
Thielaviopsis thielavioides
Endoconidiophora laricicola
Endoconidiophora polonica
Davidsoniella virescens
Thielaviopsis musarum
Thielaviopsis ethacetica
Thielaviopsis euricoi
Thielaviopsis radicicola
Knoxdaviesia capensis
Knoxdaviesia proteae
Scedosporium aurantiacum
Scedosporium dehoogii
Scedosporium boydii
Scedosporium apiospermum
Scedosporium prolificans
Colletotrichum orbiculare
Colletotrichum lindemuthianum
Colletotrichum truncatum
Colletotrichum gloeosporioides
Colletotrichum fructicola
Colletotrichum musae
Colletotrichum sansevieriae
Colletotrichum sp._JS-367
Colletotrichum nymphaeae
Colletotrichum simmondsii
Colletotrichum acutatum
Colletotrichum fioriniae
Colletotrichum salicis
Colletotrichum godetiae
Colletotrichum orchidophilum
Colletotrichum falcatum
Colletotrichum graminicola
Colletotrichum sublineola
Colletotrichum tofieldiae
Colletotrichum incanum
Colletotrichum lentis
Colletotrichum higginsianum
Colletotrichum coccodes
Colletotrichum chlorophyti
Verticillium dahliae
Verticillium longisporum
Verticillium nonalfalfae
Verticillium alfalfae
Verticillium nubilum
Verticillium isaacii
Verticillium klebahnii
Verticillium tricorpus
Verticillium zaregamsianum
Verticillium albo-atrum
Furcasterigmium furcatum
Reticulascus tulasneorum
Xylaria sp._MSU_SB201401
Kretzschmaria deusta
Dematophora necatrix
Xylaria polymorpha
Xylaria longipes
Didymobotryum rigidum
Xylaria sp._JS573
Hypoxylon sp._EC38
Hypoxylon sp._CO27-5
Hypoxylon sp._E7406B
Hypoxylon pulicicidum
Annulohypoxylon stygium
Hypoxylon sp._CI-4A
Daldinia sp._EC12
Daldinia eschscholtzii
Microdochium bolleyi
Eutypa lata
Pseudomassariella vexata
Pestalotiopsis sp._JCM_9685
Pestalotiopsis fici
Cadophora malorum
Cadophora sp._DSE1049
Helotiales sp._F229
Rhynchosporium agropyri
Rhynchosporium graminicola
Rhynchosporium secalis
Marssonina brunnea
Marssonina coronariae
Diplocarpon rosae
Phialocephala scopiformis
Phialocephala subalpina
Articulospora tetracladia
Erysiphe pisi
Erysiphe pulchra
Erysiphe necator
Blumeria graminis
Ascocoryne sarcoides
Cairneyella variabilis
Hyaloscypha bicolor
Hyaloscypha variabilis
Hyaloscypha hepaticicola
Hymenoscyphus fructigenus
Hymenoscyphus herbarum
Hymenoscyphus infarciens
Hymenoscyphus scutula
Hymenoscyphus salicellus
Hymenoscyphus fraxineus
Hymenoscyphus linearis
Hymenoscyphus repandus
Glarea lozoyensis
Phialophora cf._hyalina_BP_5553
Amorphotheca resinae
Oidiodendron maius
Gamarada debralockiae
Botrytis cinerea
Botrytis paeoniae
Sclerotinia glacialis
Sclerotinia sclerotiorum
Ciborinia camelliae
Sclerotinia borealis
Monilinia fructigena
Monilinia polystroma
Monilinia laxa
Monilinia fructicola
Monilinia aucupariae
Myriosclerotinia scirpicola
Myriosclerotinia duriaeana
Myriosclerotinia curreyana
Rutstroemia sp._NJR-2017a_BBW
Rutstroemia sp._NJR-2017a_WRK4
Rutstroemia sp._NJR-2017a_BVV2
Clarireedia homoeocarpa
Rutstroemia sydowiana
Lanzia echinophila
Chlorociboria aeruginascens
Pezicula radicicola
Coleophoma cylindrospora
Coleophoma crateriformis
Scytalidium lignicola
Pseudogymnoascus sp._VKM_F-4515_FW-2607
Pseudogymnoascus sp._VKM_F-4517_FW-2822
Pseudogymnoascus sp._BL308
Pseudogymnoascus sp._23342-1-I1
Pseudogymnoascus sp._VKM_F-4520_FW-2644
Pseudogymnoascus sp._VKM_F-4518_FW-2643
Pseudogymnoascus sp._VKM_F-4281_FW-2241
Pseudogymnoascus sp._04NY16
Pseudogymnoascus sp._24MN13
Pseudogymnoascus verrucosus
Pseudogymnoascus sp._VKM_F-103
Pseudogymnoascus sp._VKM_F-4519_FW-2642
Pseudogymnoascus sp._05NY08
Pseudogymnoascus sp._03VT05
Pseudogymnoascus sp._WSF_3629
Pseudogymnoascus destructans
Pseudogymnoascus sp._VKM_F-4513_FW-928
Pseudogymnoascus sp._VKM_F-4246
Pseudogymnoascus sp._BL549
Pseudogymnoascus pannorum
Pseudogymnoascus sp._VKM_F-3775
Pseudogymnoascus sp._VKM_F-4516_FW-969
Pseudogymnoascus sp._VKM_F-4514_FW-929
Pseudogymnoascus sp._VKM_F-3557
