ID	original_genome_id	old_speceis_names	speceis_names_fig2	hex	id_table S1	Species name	Major clade	clade_order	Family	Genus	CUG usage
268	kluyveromyces_marxianus	Kluyveromyces_marxianus	Kluyveromyces_marxianus	#0012ff	271	Kluyveromyces marxianus	Saccharomycetaceae	12	Saccharomycetaceae	Kluyveromyces	Leu
269	lachancea_fantastica	Lachancea_fantastica	Lachancea_fantastica_nom_nud	#0012ff	274	Lachancea fantastica nom. nud.	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
270	lachancea_meyersii	Lachancea_meyersii	Lachancea_meyersii	#0012ff	278	Lachancea meyersii	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
271	lachancea_nothofagi	Lachancea_nothofagi	Lachancea_nothofagi	#0012ff	280	Lachancea nothofagi	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
272	lachancea_cidri	Lachancea_cidri	Lachancea_cidri	#0012ff	272	Lachancea cidri	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
273	lachancea_thermotolerans	Lachancea_thermotolerans	Lachancea_thermotolerans	#0012ff	282	Lachancea thermotolerans	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
274	lachancea_mirantina	Lachancea_mirantina	Lachancea_mirantina	#0012ff	279	Lachancea mirantina	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
275	lachancea_dasiensis	Lachancea_dasiensis	Lachancea_dasiensis	#0012ff	273	Lachancea dasiensis	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
276	lachancea_fermentati	Lachancea_fermentati	Lachancea_fermentati	#0012ff	275	Lachancea fermentati	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
277	lachancea_kluyveri	Lachancea_kluyveri	Lachancea_kluyveri	#0012ff	276	Lachancea kluyveri	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
278	lachancea_lanzarotensis	Lachancea_lanzarotensis	Lachancea_lanzarotensis	#0012ff	277	Lachancea lanzarotensis	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
279	lachancea_quebecensis	Lachancea_quebecensis	Lachancea_quebecensis	#0012ff	281	Lachancea quebecensis	Saccharomycetaceae	12	Saccharomycetaceae	Lachancea	Leu
280	nakaseomyces_castellii	Nakaseomyces_castellii	Candida_castellii	#0012ff	286	Candida castellii	Saccharomycetaceae	12	Saccharomycetaceae	Candida	Leu
281	nakaseomyces_delphensis	Nakaseomyces_delphensis	Nakaseomyces_delphensis	#0012ff	287	Nakaseomyces delphensis	Saccharomycetaceae	12	Saccharomycetaceae	Nakaseomyces	Leu
282	nakaseomyces_nivariensis	Nakaseomyces_nivariensis	Candida_nivariensis	#0012ff	288	Candida nivariensis	Saccharomycetaceae	12	Saccharomycetaceae	Candida	Leu
283	nakaseomyces_bacillisporus	Nakaseomyces_bacillisporus	Nakaseomyces_bacillisporus	#0012ff	284	Nakaseomyces bacillisporus	Saccharomycetaceae	12	Saccharomycetaceae	Nakaseomyces	Leu
284	naumovozyma_castellii	Naumovozyma_castellii	Naumovozyma_castellii	#0012ff	289	Naumovozyma castellii	Saccharomycetaceae	12	Saccharomycetaceae	Naumovozyma	Leu
285	naumovozyma_dairenensis	Naumovozyma_dairenensis	Naumovozyma_dairenensis	#0012ff	290	Naumovozyma dairenensis	Saccharomycetaceae	12	Saccharomycetaceae	Naumovozyma	Leu
286	saccharomyces_cerevisiae	Saccharomyces_cerevisiae	Saccharomyces_cerevisiae	#0012ff	292	Saccharomyces cerevisiae	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
287	saccharomyces_uvarum	Saccharomyces_uvarum	Saccharomyces_uvarum	#0012ff	297	Saccharomyces uvarum	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
288	saccharomyces_eubayanus	Saccharomyces_eubayanus	Saccharomyces_eubayanus	#0012ff	293	Saccharomyces eubayanus	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
289	saccharomyces_kudriavzevii	Saccharomyces_kudriavzevii	Saccharomyces_kudriavzevii	#0012ff	294	Saccharomyces kudriavzevii	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
290	saccharomyces_arboricola	Saccharomyces_arboricola	Saccharomyces_arboricola	#0012ff	291	Saccharomyces arboricola	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
291	saccharomyces_paradoxus	Saccharomyces_paradoxus	Saccharomyces_paradoxus	#0012ff	296	Saccharomyces paradoxus	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
292	saccharomyces_mikatae	Saccharomyces_mikatae	Saccharomyces_mikatae	#0012ff	295	Saccharomyces mikatae	Saccharomycetaceae	12	Saccharomycetaceae	Saccharomyces	Leu
293	tetrapisispora_blattae	Tetrapisispora_blattae	Tetrapisispora_blattae	#0012ff	298	Tetrapisispora blattae	Saccharomycetaceae	12	Saccharomycetaceae	Tetrapisispora	Leu
294	tetrapisispora_phaffii	Tetrapisispora_phaffii	Tetrapisispora_phaffii	#0012ff	299	Tetrapisispora phaffii	Saccharomycetaceae	12	Saccharomycetaceae	Tetrapisispora	Leu
295	yHMPu5000034875_tetrapisispora_fleetii_160519	yHMPu5000034875_Tetrapisispora_fleetii	Tetrapisispora_fleetii	#0012ff	325	Tetrapisispora fleetii	Saccharomycetaceae	12	Saccharomycetaceae	Tetrapisispora	Leu
296	torulaspora_delbrueckii	Torulaspora_delbrueckii	Torulaspora_delbrueckii	#0012ff	300	Torulaspora delbrueckii	Saccharomycetaceae	12	Saccharomycetaceae	Torulaspora	Leu
297	yHMPu5000035652_torulaspora_maleeae_160613	yHMPu5000035652_Torulaspora_maleeae	Torulaspora_maleeae	#0012ff	319	Torulaspora maleeae	Saccharomycetaceae	12	Saccharomycetaceae	Torulaspora	Leu
298	yHMPu5000034881_torulaspora_pretoriensis_160519	yHMPu5000034881_Torulaspora_pretoriensis	Torulaspora_pretoriensis	#0012ff	322	Torulaspora pretoriensis	Saccharomycetaceae	12	Saccharomycetaceae	Torulaspora	Leu
299	yHMPu5000035651_torulaspora_microellipsoides_160519	yHMPu5000035651_Torulaspora_microellipsoides	Torulaspora_microellipsoides	#0012ff	320	Torulaspora microellipsoides	Saccharomycetaceae	12	Saccharomycetaceae	Torulaspora	Leu
300	vanderwaltozyma_polyspora	Vanderwaltozyma_polyspora	Vanderwaltozyma_polyspora	#0012ff	301	Vanderwaltozyma polyspora	Saccharomycetaceae	12	Saccharomycetaceae	Vanderwaltozyma	Leu
301	yHMPu5000035629_yueomyces_sinensis_160519	yHMPu5000035629_Yueomyces_sinensis	Yueomyces_sinensis	#0012ff	321	Yueomyces sinensis	Saccharomycetaceae	12	Saccharomycetaceae	Yueomyces	Leu
302	zygosaccharomyces_rouxii	Zygosaccharomyces_rouxii	Zygosaccharomyces_rouxii	#0012ff	303	Zygosaccharomyces rouxii	Saccharomycetaceae	12	Saccharomycetaceae	Zygosaccharomyces	Leu
303	zygosaccharomyces_bailii	Zygosaccharomyces_bailii	Zygosaccharomyces_bailii	#0012ff	302	Zygosaccharomyces bailii	Saccharomycetaceae	12	Saccharomycetaceae	Zygosaccharomyces	Leu
304	yHMPu5000034866_zygosaccharomyces_bisporus_160519	yHMPu5000034866_Zygosaccharomyces_bisporus	Zygosaccharomyces_bisporus	#0012ff	326	Zygosaccharomyces bisporus	Saccharomycetaceae	12	Saccharomycetaceae	Zygosaccharomyces	Leu
305	yHMPu5000034862_zygotorulaspora_florentina_160519	yHMPu5000034862_Zygotorulaspora_florentina	Zygotorulaspora_florentina	#0012ff	328	Zygotorulaspora florentina	Saccharomycetaceae	12	Saccharomycetaceae	Zygotorulaspora	Leu
306	hanseniaspora_valbyensis	Hanseniaspora_valbyensis	Hanseniaspora_valbyensis	#12958A	255	Hanseniaspora valbyensis	Saccharomycodaceae	11	Saccharomycodaceae	Hanseniaspora	Leu
307	hanseniaspora_uvarum	Hanseniaspora_uvarum	Hanseniaspora_uvarum	#12958A	254	Hanseniaspora uvarum	Saccharomycodaceae	11	Saccharomycodaceae	Hanseniaspora	Leu
308	yHMPu5000035695_hanseniaspora_pseudoguilliermondii_160519	yHMPu5000035695_Hanseniaspora_pseudoguilliermondii	Hanseniaspora_pseudoguilliermondii	#12958A	258	Hanseniaspora pseudoguilliermondii	Saccharomycodaceae	11	Saccharomycodaceae	Hanseniaspora	Leu
309	yHMPu5000035684_kloeckera_hatyaiensis_160519	yHMPu5000035684_Kloeckera_hatyaiensis	Kloeckera_hatyaiensis	#12958A	259	Kloeckera hatyaiensis	Saccharomycodaceae	11	Saccharomycodaceae	Kloeckera	Leu
